File.Name2016,Day2016,File.Name2017,Day2017,Link,Features
01-12-2016,Thursday,01-12-2017,Friday,\DataSet-December2017\,S.no
02-12-2016,Friday,02-12-2017,Saturday,\DataSet-December2016\,District_name
03-12-2016,Saturday,03-12-2017,Sunday,,Eligible.schools
04-12-2016,Sunday,04-12-2017,Monday,,Correct.SMS
05-12-2016,Monday,05-12-2017,Tuesday,,No.of.Teachers.Attended
06-12-2016,Tuesday,06-12-2017,Wedneday,,No.of.Students.Class.1.5
07-12-2016,Wedneday,07-12-2017,Thursday,,No.of.Students.Class.6.8
08-12-2016,Thursday,08-12-2017,Friday,,No.of.Students.Class.8.10
09-12-2016,Friday,09-12-2017,Saturday,,Total.No.of.Students.Beneficiaries
10-12-2016,Saturday,10-12-2017,Sunday,,Percentage.Schools.Reported
11-12-2016,Sunday,11-12-2017,Monday,,
12-12-2016,Monday,12-12-2017,Tuesday,,
13-12-2016,Tuesday,13-12-2017,Wedneday,,
14-12-2016,Wedneday,14-12-2017,Thursday,,
15-12-2016,Thursday,15-12-2017,Friday,,
16-12-2016,Friday,16-12-2017,Saturday,,
17-12-2016,Saturday,17-12-2017,Sunday,,
18-12-2016,Sunday,18-12-2017,Monday,,
19-12-2016,Monday,19-12-2017,Tuesday,,
20-12-2016,Tuesday,20-12-2017,Wedneday,,
21-12-2016,Wedneday,21-12-2017,Thursday,,
22-12-2016,Thursday,22-12-2017,Friday,,
23-12-2016,Friday,23-12-2017,Saturday,,
24-12-2016,Saturday,24-12-2017,Sunday,,
25-12-2016,Sunday,25-12-2017,Monday,,
26-12-2016,Monday,26-12-2017,Tuesday,,
27-12-2016,Tuesday,27-12-2017,Wedneday,,
28-12-2016,Wedneday,28-12-2017,Thursday,,
29-12-2016,Thursday,29-12-2017,Friday,,
30-12-2016,Friday,30-12-2017,Saturday,,
31-12-2016,Saturday,31-12-2017,Sunday,,
