S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1008,5658,76157,38751,18628,133536,59.61
2,BALLARI,1668,873,4317,70660,34954,16180,121794,52.34
3,BELAGAVI,1780,713,3499,52034,27679,10877,90590,40.06
4,BELAGAVI CHIKKODI,2253,1526,7412,118788,63581,36126,218495,67.73
5,BENGALURU RURAL,1217,814,2551,24008,14800,9313,48121,66.89
6,BENGALURU U NORTH,844,624,3697,39255,24466,14218,77939,73.93
7,BENGALURU U SOUTH,1347,679,3142,45624,25399,11183,82206,50.41
8,BIDAR,1769,683,4107,36895,20788,12286,69969,38.61
9,CHAMARAJANAGARA,934,557,2041,24033,14807,10217,49057,59.64
10,CHIKKABALLAPURA,1664,962,2869,28975,16693,11011,56679,57.81
11,CHIKKAMAGALURU,1635,609,1957,15856,8782,5639,30277,37.25
12,CHITRADURGA,2039,1750,7762,74687,42398,26508,143593,85.83
13,DAKSHINA KANNADA,1421,671,3083,32837,25083,21880,79800,47.22
14,DAVANAGERE,1846,1132,5095,58207,32685,19392,110284,61.32
15,DHARWAD,1076,589,3533,47560,26683,14422,88665,54.74
16,GADAG,887,68,609,5433,2722,1012,9167,7.67
17,HASSAN,2720,1832,6195,42657,28230,19974,90861,67.35
18,HAVERI,1519,944,4687,61744,35237,18882,115863,62.15
19,KALABURGI,2180,588,2951,41843,17703,1930,61476,26.97
20,KODAGU,499,9,39,89,124,249,462,1.8
21,KOLAR,2039,893,2729,25390,14961,9469,49820,43.8
22,KOPPAL,1151,358,1765,33776,15832,6389,55997,31.1
23,MANDYA,2006,780,2484,25443,15839,9876,51158,38.88
24,MYSURU,2399,840,3527,40723,24651,15165,80539,35.01
25,RAICHUR,1727,546,2213,42814,17420,4980,65214,31.62
26,RAMANAGARA,1466,615,1878,18389,9803,6737,34929,41.95
27,SHIVAMOGGA,2257,1369,4901,45943,28279,19238,93460,60.66
28,TUMAKURU,2429,449,1459,13907,8643,4471,27021,18.48
29,TUMAKURU MADHUGIRI,1477,616,2240,20282,9464,5572,35318,41.71
30,UDUPI,967,639,3094,24545,16999,12162,53706,66.08
31,UTTARA KANNADA,1102,512,1742,12440,8336,6378,27154,46.46
32,UTTARA KANNADA SIRSI,1278,491,1499,17874,9670,4898,32442,38.42
33,VIJAYAPURA,2317,563,2480,37926,16998,5849,60773,24.3
34,YADAGIRI,1096,28,92,2119,666,477,3262,2.55
